antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'stubborn', 'smart worker'})",frozenset({'work'}),0.25085,0.4961,0.12605,0.5024915288020729,1.012883549288597,1.0,0.001603314999999994,1.0128470753205128,0.016978808959819878,0.20301175712675149,0.012684121456782979,0.3782866835705587
frozenset({'work'}),"frozenset({'stubborn', 'smart worker'})",0.4961,0.25085,0.12605,0.2540818383390445,1.0128835492885968,1.0,0.001603314999999994,1.0043326982840155,0.025242458289837393,0.20301175712675149,0.00431400699331843,0.3782866835705587
"frozenset({'no', 'work', 'yes'})",frozenset({'Management'}),0.24755,0.49765,0.12475,0.5039385982629772,1.0126365884918662,1.0,0.0015567425000000135,1.0126770561889251,0.016584354834994073,0.20106374405673302,0.012518360232859904,0.3773083928720693
frozenset({'Management'}),"frozenset({'no', 'work', 'yes'})",0.49765,0.24755,0.12475,0.25067818748116144,1.012636588491866,1.0,0.0015567425000000135,1.0041746916063288,0.024841042690537052,0.20106374405673302,0.004157336010580701,0.3773083928720693
"frozenset({'Management', 'yes'})",frozenset({'smart worker'}),0.3767,0.50235,0.1916,0.5086275550836209,1.012496377194428,1.0,0.002364755000000024,1.0127755537547272,0.01980129166363845,0.278711178994836,0.012614397837076125,0.44501747018638094
frozenset({'smart worker'}),"frozenset({'Management', 'yes'})",0.50235,0.3767,0.1916,0.38140738528914103,1.012496377194428,1.0,0.002364755000000024,1.007609831053902,0.024800854202644117,0.278711178994836,0.007552358878775955,0.44501747018638094
"frozenset({'smart worker', 'Technical'})",frozenset({'no'}),0.2487,0.7508,0.18895,0.759750703659027,1.0119215552198015,1.0,0.0022260399999999847,1.03725589958159,0.01568096115097585,0.23311331811732772,0.03591775144071809,0.5057077972210958
frozenset({'no'}),"frozenset({'smart worker', 'Technical'})",0.7508,0.2487,0.18895,0.2516648907831646,1.0119215552198013,1.0,0.0022260399999999847,1.0039619827356057,0.04727570671239227,0.23311331811732772,0.003946347375435398,0.5057077972210958
"frozenset({'salary', 'gentle'})",frozenset({'Technical'}),0.25635,0.50235,0.1303,0.5082894480202848,1.0118233264064591,1.0,0.0015225775000000108,1.0120791550971837,0.015713264090816813,0.20735200509229793,0.011934990495900306,0.3838351788722903
frozenset({'Technical'}),"frozenset({'salary', 'gentle'})",0.50235,0.25635,0.1303,0.25938090972429584,1.0118233264064591,1.0,0.0015225775000000108,1.0040924002150249,0.023480696957974324,0.20735200509229793,0.004075720734614155,0.3838351788722903
"frozenset({'no', 'work'})",frozenset({'smart worker'}),0.37185,0.50235,0.189,0.5082694634933441,1.0117835443283452,1.0,0.0022011524999999976,1.0120380229696473,0.01854065036027941,0.27583187390542907,0.0118948327003801,0.4422505872259196
frozenset({'smart worker'}),"frozenset({'no', 'work'})",0.50235,0.37185,0.189,0.3762317109584951,1.011783544328345,1.0,0.0022011524999999976,1.0070245811393013,0.023402611320826907,0.27583187390542907,0.006975580607331211,0.4422505872259196
frozenset({'Management'}),frozenset({'work'}),0.49765,0.4961,0.24975,0.5018587360594796,1.0116080146330975,1.0,0.002865835000000011,1.0115604477611941,0.022842270956135877,0.3356854838709678,0.011428331136097697,0.5026427322708202
frozenset({'work'}),frozenset({'Management'}),0.4961,0.49765,0.24975,0.5034267284821609,1.0116080146330972,1.0,0.002865835000000011,1.0116331844936068,0.022772007967483347,0.3356854838709678,0.011499409738550561,0.5026427322708202
"frozenset({'no', 'work', 'yes'})",frozenset({'smart worker'}),0.24755,0.50235,0.1258,0.5081801656231064,1.0116057840611257,1.0,0.001443257500000003,1.011854271047228,0.015247039850003533,0.20157026117609356,0.011715393596114645,0.379301588733719
frozenset({'smart worker'}),"frozenset({'no', 'work', 'yes'})",0.50235,0.24755,0.1258,0.25042301184433163,1.0116057840611257,1.0,0.001443257500000003,1.0038328442437923,0.023053622295057086,0.20157026117609356,0.0038182096409484227,0.379301588733719
frozenset({'stubborn'}),"frozenset({'no', 'smart worker', 'yes'})",0.49845,0.25425,0.1282,0.2571973116661651,1.011592179611269,1.0,0.0014690875000000214,1.0039678257933828,0.02284785340172488,0.20528422738190555,0.003952144373000511,0.3807127167967011
"frozenset({'no', 'smart worker', 'yes'})",frozenset({'stubborn'}),0.25425,0.49845,0.1282,0.5042281219272371,1.011592179611269,1.0,0.0014690875000000214,1.0116547996826657,0.015366196277083622,0.20528422738190555,0.011520530210820636,0.3807127167967011
"frozenset({'smart worker', 'Technical'})",frozenset({'stubborn'}),0.2487,0.49845,0.1254,0.5042219541616406,1.0115798057210164,1.0,0.0014354850000000141,1.0116422141119221,0.015236588318684763,0.20168878166465623,0.011508232801596279,0.3779009259222287
frozenset({'stubborn'}),"frozenset({'smart worker', 'Technical'})",0.49845,0.2487,0.1254,0.25157989768281674,1.0115798057210161,1.0,0.0014354850000000141,1.0038479694410936,0.022823744001251846,0.20168878166465623,0.003833219330249887,0.3779009259222287
"frozenset({'work', 'gentle'})",frozenset({'smart worker'}),0.2452,0.50235,0.1246,0.5081566068515497,1.0115588869345074,1.0,0.0014237800000000134,1.0118058043117746,0.015138852382738842,0.2000160526527009,0.011668053554807127,0.3780954229639455
frozenset({'smart worker'}),"frozenset({'work', 'gentle'})",0.50235,0.2452,0.1246,0.24803423907634123,1.0115588869345074,1.0,0.0014237800000000134,1.0037691065519525,0.022961530751514674,0.2000160526527009,0.0037549537312416893,0.3780954229639455
"frozenset({'smart worker', 'yes'})",frozenset({'stubborn'}),0.37655,0.49845,0.18985,0.5041827114593015,1.0115010762549934,1.0,0.0021586524999999968,1.011562145152651,0.018237718348457003,0.2770926074582208,0.011429989949758723,0.4425317208615597
frozenset({'stubborn'}),"frozenset({'smart worker', 'yes'})",0.49845,0.37655,0.18985,0.3808807302638178,1.0115010762549934,1.0,0.0021586524999999968,1.006994985418017,0.022670332976464005,0.2770926074582208,0.0069463954829060955,0.4425317208615597
